Institute,Department,Category,Round,Opening Rank,Closing Rank
IIT Ropar,ME,OBC-NCL,1,5517,7254
IIT Ropar,ME,SC,1,9985,11403
IIT Ropar,ME,ST,1,12003,13477
IIT Tirupati,CSE,GEN,1,508,1851
IIT Tirupati,CSE,GEN-EWS,1,563,2545
IIT Tirupati,CSE,OBC-NCL,1,783,2061
IIT Tirupati,CSE,SC,1,1204,2153
IIT Tirupati,CSE,ST,1,1478,2531
IIT Tirupati,ECE,GEN,1,1936,3214
IIT Tirupati,ECE,GEN-EWS,1,2311,3479
IIT Tirupati,ECE,OBC-NCL,1,2879,3851
IIT Tirupati,ECE,SC,1,4933,6503
IIT Tirupati,ECE,ST,1,6059,7064
IIT Tirupati,EE,GEN,1,2990,4866
IIT Tirupati,EE,GEN-EWS,1,3625,4953
IIT Tirupati,EE,OBC-NCL,1,4267,5130
IIT Tirupati,EE,SC,1,7461,8732
IIT Tirupati,EE,ST,1,8999,10362
IIT Tirupati,CE,GEN,1,5012,6588
IIT Tirupati,CE,GEN-EWS,1,5938,7475
IIT Tirupati,CE,OBC-NCL,1,6981,8400
IIT Tirupati,CE,SC,1,12598,14175
IIT Tirupati,CE,ST,1,15056,16133
IIT Tirupati,ME,GEN,1,4069,4872
IIT Tirupati,ME,GEN-EWS,1,4706,6099
IIT Tirupati,ME,OBC-NCL,1,5620,6568
IIT Tirupati,ME,SC,1,10079,11283
IIT Tirupati,ME,ST,1,12091,13533
IIT Bhilai,CSE,GEN,2,487,2157
IIT Bhilai,CSE,GEN-EWS,2,595,2394
IIT Bhilai,CSE,OBC-NCL,2,654,2537
IIT Bhilai,CSE,SC,2,1344,2491
IIT Bhilai,CSE,ST,2,1429,2833
IIT Bhilai,ECE,GEN,2,2058,3297
IIT Bhilai,ECE,GEN-EWS,2,2358,3659
IIT Bhilai,ECE,OBC-NCL,2,2785,3744
IIT Bhilai,ECE,SC,2,4900,6210
IIT Bhilai,ECE,ST,2,5958,7098
IIT Bhilai,EE,GEN,2,2941,4057
IIT Bhilai,EE,GEN-EWS,2,3687,5366
IIT Bhilai,EE,OBC-NCL,2,4192,5495
IIT Bhilai,EE,SC,2,7519,9397
IIT Bhilai,EE,ST,2,8925,10727
IIT Bhilai,CE,GEN,2,5096,6022
IIT Bhilai,CE,GEN-EWS,2,5986,7626
IIT Bhilai,CE,OBC-NCL,2,6952,8755
IIT Bhilai,CE,SC,2,12559,14291
IIT Bhilai,CE,ST,2,15077,16784
IIT Bhilai,ME,GEN,2,4096,5340
IIT Bhilai,ME,GEN-EWS,2,4828,5645
IIT Bhilai,ME,OBC-NCL,2,5560,6490
IIT Bhilai,ME,SC,2,10053,11871
IIT Bhilai,ME,ST,2,12053,12990
IIT Bhubaneswar,CSE,GEN,2,577,1167
IIT Bhubaneswar,CSE,GEN-EWS,2,523,1911
IIT Bhubaneswar,CSE,OBC-NCL,2,618,1869
IIT Bhubaneswar,CSE,SC,2,1158,2889
IIT Bhubaneswar,CSE,ST,2,1493,2207
IIT Bhubaneswar,ECE,GEN,2,1984,2923
IIT Bhubaneswar,ECE,GEN-EWS,2,2391,3921
IIT Bhubaneswar,ECE,OBC-NCL,2,2784,3370
IIT Bhubaneswar,ECE,SC,2,5093,6728
IIT Bhubaneswar,ECE,ST,2,5967,7883
IIT Bhubaneswar,EE,GEN,2,3009,4805
IIT Bhubaneswar,EE,GEN-EWS,2,3610,5317
IIT Bhubaneswar,EE,OBC-NCL,2,4286,5317
IIT Bhubaneswar,EE,SC,2,7430,8662
IIT Bhubaneswar,EE,ST,2,9092,10321
IIT Bhubaneswar,CE,GEN,2,5021,6624
IIT Bhubaneswar,CE,GEN-EWS,2,6070,7096
IIT Bhubaneswar,CE,OBC-NCL,2,6913,8360
IIT Bhubaneswar,CE,SC,2,12504,13708
IIT Bhubaneswar,CE,ST,2,14935,16070
IIT Bhubaneswar,ME,GEN,2,3908,4681
IIT Bhubaneswar,ME,GEN-EWS,2,4799,6478
IIT Bhubaneswar,ME,OBC-NCL,2,5680,7001
IIT Bhubaneswar,ME,SC,2,10057,11063
IIT Bhubaneswar,ME,ST,2,11956,13398
IIT Bombay,CSE,GEN,2,598,1566
IIT Bombay,CSE,GEN-EWS,2,645,1350
IIT Bombay,CSE,OBC-NCL,2,717,1745
IIT Bombay,CSE,SC,2,1313,1852
IIT Bombay,CSE,ST,2,1561,3205
IIT Bombay,ECE,GEN,2,2037,2744
IIT Bombay,ECE,GEN-EWS,2,2431,3241
IIT Bombay,ECE,OBC-NCL,2,2783,4177
IIT Bombay,ECE,SC,2,4940,6293
IIT Bombay,ECE,ST,2,6033,6842
IIT Bombay,EE,GEN,2,2966,3920
IIT Bombay,EE,GEN-EWS,2,3507,4478
IIT Bombay,EE,OBC-NCL,2,4298,5607
IIT Bombay,EE,SC,2,7530,8574
IIT Bombay,EE,ST,2,9025,9861
IIT Bombay,CE,GEN,2,5049,6445
IIT Bombay,CE,GEN-EWS,2,6093,6912
IIT Bombay,CE,OBC-NCL,2,7091,8765
IIT Bombay,CE,SC,2,12587,13824
IIT Bombay,CE,ST,2,15031,16123
IIT Bombay,ME,GEN,2,3907,4530
IIT Bombay,ME,GEN-EWS,2,4855,6488
IIT Bombay,ME,OBC-NCL,2,5621,7228
IIT Bombay,ME,SC,2,10091,11522
IIT Bombay,ME,ST,2,12029,13489
IIT Delhi,CSE,GEN,2,449,1375
IIT Delhi,CSE,GEN-EWS,2,700,1393
IIT Delhi,CSE,OBC-NCL,2,624,1213
IIT Delhi,CSE,SC,2,1216,3131
IIT Delhi,CSE,ST,2,1543,2615
IIT Delhi,ECE,GEN,2,1993,2760
IIT Delhi,ECE,GEN-EWS,2,2362,3804
IIT Delhi,ECE,OBC-NCL,2,2788,3866
IIT Delhi,ECE,SC,2,5047,6879
IIT Delhi,ECE,ST,2,5924,7551
IIT Delhi,EE,GEN,2,2965,4782
IIT Delhi,EE,GEN-EWS,2,3692,5544
IIT Delhi,EE,OBC-NCL,2,4157,5209
IIT Delhi,EE,SC,2,7510,8692
IIT Delhi,EE,ST,2,8932,9611
IIT Delhi,CE,GEN,2,4944,5447
IIT Delhi,CE,GEN-EWS,2,5954,7840
IIT Delhi,CE,OBC-NCL,2,6935,8546
IIT Delhi,CE,SC,2,12553,14044
IIT Delhi,CE,ST,2,14998,16180
IIT Delhi,ME,GEN,2,4066,4595
IIT Delhi,ME,GEN-EWS,2,4824,6821
IIT Delhi,ME,OBC-NCL,2,5548,7430
IIT Delhi,ME,SC,2,10017,11948
IIT Delhi,ME,ST,2,11972,13281
IIT Dharwad,CSE,GEN,2,410,2170
IIT Dharwad,CSE,GEN-EWS,2,593,1948
IIT Dharwad,CSE,OBC-NCL,2,668,2460
IIT Dharwad,CSE,SC,2,1308,3160
IIT Dharwad,CSE,ST,2,1550,2542
IIT Dharwad,ECE,GEN,2,2092,3414
IIT Dharwad,ECE,GEN-EWS,2,2433,3181
IIT Dharwad,ECE,OBC-NCL,2,2739,3405
IIT Dharwad,ECE,SC,2,4938,6536
IIT Dharwad,ECE,ST,2,5987,6775
IIT Dharwad,EE,GEN,2,3049,4173
IIT Dharwad,EE,GEN-EWS,2,3569,4855
IIT Dharwad,EE,OBC-NCL,2,4161,6128
IIT Dharwad,EE,SC,2,7510,9192
IIT Dharwad,EE,ST,2,9002,10621
IIT Dharwad,CE,GEN,2,5029,6609
IIT Dharwad,CE,GEN-EWS,2,6088,6731
IIT Dharwad,CE,OBC-NCL,2,6981,8494
IIT Dharwad,CE,SC,2,12420,14183
IIT Dharwad,CE,ST,2,14949,16154
IIT Dharwad,ME,GEN,2,4067,5956
IIT Dharwad,ME,GEN-EWS,2,4729,5289
IIT Dharwad,ME,OBC-NCL,2,5674,7209
IIT Dharwad,ME,SC,2,9980,10872
IIT Dharwad,ME,ST,2,11999,12876
IIT Dhanbad (ISM),CSE,GEN,2,593,1172
IIT Dhanbad (ISM),CSE,GEN-EWS,2,656,2267
IIT Dhanbad (ISM),CSE,OBC-NCL,2,746,1512
IIT Dhanbad (ISM),CSE,SC,2,1269,2279
IIT Dhanbad (ISM),CSE,ST,2,1536,2816
IIT Dhanbad (ISM),ECE,GEN,2,2015,3330
IIT Dhanbad (ISM),ECE,GEN-EWS,2,2409,3022
IIT Dhanbad (ISM),ECE,OBC-NCL,2,2825,3773
IIT Dhanbad (ISM),ECE,SC,2,4992,6148
IIT Dhanbad (ISM),ECE,ST,2,5917,6428
IIT Dhanbad (ISM),EE,GEN,2,3029,3863
IIT Dhanbad (ISM),EE,GEN-EWS,2,3542,4957
IIT Dhanbad (ISM),EE,OBC-NCL,2,4248,6182
IIT Dhanbad (ISM),EE,SC,2,7428,7968
IIT Dhanbad (ISM),EE,ST,2,9051,10789
IIT Dhanbad (ISM),CE,GEN,2,5053,6943
IIT Dhanbad (ISM),CE,GEN-EWS,2,6043,6988
IIT Dhanbad (ISM),CE,OBC-NCL,2,7058,7718
IIT Dhanbad (ISM),CE,SC,2,12517,13596
IIT Dhanbad (ISM),CE,ST,2,15036,16643
IIT Dhanbad (ISM),ME,GEN,2,3971,4751
IIT Dhanbad (ISM),ME,GEN-EWS,2,4772,5497
IIT Dhanbad (ISM),ME,OBC-NCL,2,5674,7255
IIT Dhanbad (ISM),ME,SC,2,10091,11777
IIT Dhanbad (ISM),ME,ST,2,11942,12702
IIT Gandhinagar,CSE,GEN,2,476,2222
IIT Gandhinagar,CSE,GEN-EWS,2,646,2631
IIT Gandhinagar,CSE,OBC-NCL,2,636,1667
IIT Gandhinagar,CSE,SC,2,1263,2009
IIT Gandhinagar,CSE,ST,2,1561,3321
IIT Gandhinagar,ECE,GEN,2,2038,2575
IIT Gandhinagar,ECE,GEN-EWS,2,2373,3105
IIT Gandhinagar,ECE,OBC-NCL,2,2731,3311
IIT Gandhinagar,ECE,SC,2,5011,6751
IIT Gandhinagar,ECE,ST,2,5912,7852
IIT Gandhinagar,EE,GEN,2,2926,4161
IIT Gandhinagar,EE,GEN-EWS,2,3619,5097
IIT Gandhinagar,EE,OBC-NCL,2,4130,5093
IIT Gandhinagar,EE,SC,2,7421,9320
IIT Gandhinagar,EE,ST,2,8992,10639
IIT Gandhinagar,CE,GEN,2,4983,5548
IIT Gandhinagar,CE,GEN-EWS,2,6030,7201
IIT Gandhinagar,CE,OBC-NCL,2,6980,8410
IIT Gandhinagar,CE,SC,2,12487,14399
IIT Gandhinagar,CE,ST,2,14913,15757
IIT Gandhinagar,ME,GEN,2,3940,5265
IIT Gandhinagar,ME,GEN-EWS,2,4900,6184
IIT Gandhinagar,ME,OBC-NCL,2,5588,6634
IIT Gandhinagar,ME,SC,2,9965,11504
IIT Gandhinagar,ME,ST,2,11952,13493
IIT Goa,CSE,GEN,2,460,1660
IIT Goa,CSE,GEN-EWS,2,641,2487
IIT Goa,CSE,OBC-NCL,2,632,1387
IIT Goa,CSE,SC,2,1240,2202
IIT Goa,CSE,ST,2,1429,2637
IIT Goa,ECE,GEN,2,1939,3829
IIT Goa,ECE,GEN-EWS,2,2305,3342
IIT Goa,ECE,OBC-NCL,2,2883,3452
IIT Goa,ECE,SC,2,5047,6345
IIT Goa,ECE,ST,2,5943,6513
IIT Goa,EE,GEN,2,2993,4707
IIT Goa,EE,GEN-EWS,2,3537,5068
IIT Goa,EE,OBC-NCL,2,4171,4964
IIT Goa,EE,SC,2,7508,8253
IIT Goa,EE,ST,2,8966,10460
IIT Goa,CE,GEN,2,5022,6815
IIT Goa,CE,GEN-EWS,2,5992,7896
IIT Goa,CE,OBC-NCL,2,7000,8151
IIT Goa,CE,SC,2,12534,13203
IIT Goa,CE,ST,2,14948,16627
IIT Goa,ME,GEN,2,4030,4936
IIT Goa,ME,GEN-EWS,2,4757,6654
IIT Goa,ME,OBC-NCL,2,5583,6447
IIT Goa,ME,SC,2,9955,10858
IIT Goa,ME,ST,2,11984,13224
IIT Guwahati,CSE,GEN,2,415,1984
IIT Guwahati,CSE,GEN-EWS,2,563,1894
IIT Guwahati,CSE,OBC-NCL,2,791,1796
IIT Guwahati,CSE,SC,2,1328,2772
IIT Guwahati,CSE,ST,2,1588,3225
IIT Guwahati,ECE,GEN,2,2025,3488
IIT Guwahati,ECE,GEN-EWS,2,2417,4373
IIT Guwahati,ECE,OBC-NCL,2,2807,4519
IIT Guwahati,ECE,SC,2,4944,5914
IIT Guwahati,ECE,ST,2,5936,6602
IIT Guwahati,EE,GEN,2,2991,4309
IIT Guwahati,EE,GEN-EWS,2,3579,4168
IIT Guwahati,EE,OBC-NCL,2,4113,5216
IIT Guwahati,EE,SC,2,7445,8641
IIT Guwahati,EE,ST,2,9030,10689
IIT Guwahati,CE,GEN,2,4985,5689
IIT Guwahati,CE,GEN-EWS,2,6001,6736
IIT Guwahati,CE,OBC-NCL,2,6953,8918
IIT Guwahati,CE,SC,2,12573,13927
IIT Guwahati,CE,ST,2,15006,16118
IIT Guwahati,ME,GEN,2,4033,5539
IIT Guwahati,ME,GEN-EWS,2,4832,6678
IIT Guwahati,ME,OBC-NCL,2,5656,6277
IIT Guwahati,ME,SC,2,9983,11724
IIT Guwahati,ME,ST,2,12087,12922
IIT Hyderabad,CSE,GEN,2,560,1640
IIT Hyderabad,CSE,GEN-EWS,2,568,1350
IIT Hyderabad,CSE,OBC-NCL,2,628,1746
IIT Hyderabad,CSE,SC,2,1179,2431
IIT Hyderabad,CSE,ST,2,1493,2347
IIT Hyderabad,ECE,GEN,2,1961,2759
IIT Hyderabad,ECE,GEN-EWS,2,2441,4093
IIT Hyderabad,ECE,OBC-NCL,2,2823,4311
IIT Hyderabad,ECE,SC,2,4978,5526
IIT Hyderabad,ECE,ST,2,5965,6881
IIT Hyderabad,EE,GEN,2,3024,4775
IIT Hyderabad,EE,GEN-EWS,2,3652,5623
IIT Hyderabad,EE,OBC-NCL,2,4216,6207
IIT Hyderabad,EE,SC,2,7467,8947
IIT Hyderabad,EE,ST,2,9026,11026
IIT Hyderabad,CE,GEN,2,5007,6237
IIT Hyderabad,CE,GEN-EWS,2,5933,7590
IIT Hyderabad,CE,OBC-NCL,2,7042,8370
IIT Hyderabad,CE,SC,2,12404,13667
IIT Hyderabad,CE,ST,2,15066,16921
IIT Hyderabad,ME,GEN,2,4063,4808
IIT Hyderabad,ME,GEN-EWS,2,4874,6150
IIT Hyderabad,ME,OBC-NCL,2,5619,6402
IIT Hyderabad,ME,SC,2,10014,11313
IIT Hyderabad,ME,ST,2,11992,13614
IIT Indore,CSE,GEN,2,416,1336
IIT Indore,CSE,GEN-EWS,2,663,1987
IIT Indore,CSE,OBC-NCL,2,764,2043
IIT Indore,CSE,SC,2,1163,2666
IIT Indore,CSE,ST,2,1586,3397
IIT Indore,ECE,GEN,2,2047,3060
IIT Indore,ECE,GEN-EWS,2,2459,4386
IIT Indore,ECE,OBC-NCL,2,2752,4050
IIT Indore,ECE,SC,2,4950,5991
IIT Indore,ECE,ST,2,6067,8062
IIT Indore,EE,GEN,2,3063,4534
IIT Indore,EE,GEN-EWS,2,3578,5158
IIT Indore,EE,OBC-NCL,2,4239,5243
IIT Indore,EE,SC,2,7550,8485
IIT Indore,EE,ST,2,8906,10456
IIT Indore,CE,GEN,2,5063,6126
IIT Indore,CE,GEN-EWS,2,6012,7970
IIT Indore,CE,OBC-NCL,2,7053,8380
IIT Indore,CE,SC,2,12428,14126
IIT Indore,CE,ST,2,14983,15778
IIT Indore,ME,GEN,2,4045,5590
IIT Indore,ME,GEN-EWS,2,4729,5865
IIT Indore,ME,OBC-NCL,2,5510,7109
IIT Indore,ME,SC,2,10034,11680
IIT Indore,ME,ST,2,12086,12604
IIT Jammu,CSE,GEN,2,481,1412
IIT Jammu,CSE,GEN-EWS,2,674,1453
IIT Jammu,CSE,OBC-NCL,2,662,1510
IIT Jammu,CSE,SC,2,1336,1985
IIT Jammu,CSE,ST,2,1509,2526
IIT Jammu,ECE,GEN,2,1978,3512
IIT Jammu,ECE,GEN-EWS,2,2472,3737
IIT Jammu,ECE,OBC-NCL,2,2821,4515
IIT Jammu,ECE,SC,2,4923,6498
IIT Jammu,ECE,ST,2,6094,6696
IIT Jammu,EE,GEN,2,3041,3689
IIT Jammu,EE,GEN-EWS,2,3549,4636
IIT Jammu,EE,OBC-NCL,2,4128,5527
IIT Jammu,EE,SC,2,7414,9137
IIT Jammu,EE,ST,2,8973,10529
IIT Jammu,CE,GEN,2,4999,6781
IIT Jammu,CE,GEN-EWS,2,6081,7516
IIT Jammu,CE,OBC-NCL,2,7016,8799
IIT Jammu,CE,SC,2,12460,13835
IIT Jammu,CE,ST,2,14940,16184
IIT Jammu,ME,GEN,2,4095,5082
IIT Jammu,ME,GEN-EWS,2,4749,6625
IIT Jammu,ME,OBC-NCL,2,5652,6686
IIT Jammu,ME,SC,2,10037,11802
IIT Jammu,ME,ST,2,11906,12406
IIT Jodhpur,CSE,GEN,2,446,1642
IIT Jodhpur,CSE,GEN-EWS,2,605,2126
IIT Jodhpur,CSE,OBC-NCL,2,648,2131
IIT Jodhpur,CSE,SC,2,1291,2191
IIT Jodhpur,CSE,ST,2,1436,2470
IIT Jodhpur,ECE,GEN,2,1992,3093
IIT Jodhpur,ECE,GEN-EWS,2,2490,3378
IIT Jodhpur,ECE,OBC-NCL,2,2864,4711
IIT Jodhpur,ECE,SC,2,4987,6685
IIT Jodhpur,ECE,ST,2,5939,6544
IIT Jodhpur,EE,GEN,2,3006,3626
IIT Jodhpur,EE,GEN-EWS,2,3652,5131
IIT Jodhpur,EE,OBC-NCL,2,4186,6184
IIT Jodhpur,EE,SC,2,7501,9096
IIT Jodhpur,EE,ST,2,8994,10602
IIT Jodhpur,CE,GEN,2,4967,6350
IIT Jodhpur,CE,GEN-EWS,2,6048,7818
IIT Jodhpur,CE,OBC-NCL,2,6958,8409
IIT Jodhpur,CE,SC,2,12406,14332
IIT Jodhpur,CE,ST,2,14910,16521
IIT Jodhpur,ME,GEN,2,4030,4868
IIT Jodhpur,ME,GEN-EWS,2,4878,5980
IIT Jodhpur,ME,OBC-NCL,2,5620,7263
IIT Jodhpur,ME,SC,2,10032,11500
IIT Jodhpur,ME,ST,2,11936,13295
IIT Kanpur,CSE,GEN,2,589,2223
IIT Kanpur,CSE,GEN-EWS,2,526,1742
IIT Kanpur,CSE,OBC-NCL,2,792,2219
IIT Kanpur,CSE,SC,2,1291,1888
IIT Kanpur,CSE,ST,2,1560,2193
IIT Kanpur,ECE,GEN,2,1997,2993
IIT Kanpur,ECE,GEN-EWS,2,2332,3295
IIT Kanpur,ECE,OBC-NCL,2,2833,4779
IIT Kanpur,ECE,SC,2,5013,5794
IIT Kanpur,ECE,ST,2,5931,7329
IIT Kanpur,EE,GEN,2,2994,4024
IIT Kanpur,EE,GEN-EWS,2,3598,4628
IIT Kanpur,EE,OBC-NCL,2,4152,4914
IIT Kanpur,EE,SC,2,7484,9007
IIT Kanpur,EE,ST,2,9019,9642
IIT Kanpur,CE,GEN,2,5063,6243
IIT Kanpur,CE,GEN-EWS,2,6033,6821
IIT Kanpur,CE,OBC-NCL,2,6931,8928
IIT Kanpur,CE,SC,2,12504,13188
IIT Kanpur,CE,ST,2,15086,16114
IIT Kanpur,ME,GEN,2,4051,4570
IIT Kanpur,ME,GEN-EWS,2,4723,6191
IIT Kanpur,ME,OBC-NCL,2,5672,7003
IIT Kanpur,ME,SC,2,9992,11190
IIT Kanpur,ME,ST,2,12032,13845
IIT Kharagpur,CSE,GEN,2,512,2297
IIT Kharagpur,CSE,GEN-EWS,2,526,2083
IIT Kharagpur,CSE,OBC-NCL,2,744,1943
IIT Kharagpur,CSE,SC,2,1291,2894
IIT Kharagpur,CSE,ST,2,1566,2910
IIT Kharagpur,ECE,GEN,2,1981,2507
IIT Kharagpur,ECE,GEN-EWS,2,2380,4013
IIT Kharagpur,ECE,OBC-NCL,2,2826,3535
IIT Kharagpur,ECE,SC,2,4974,5646
IIT Kharagpur,ECE,ST,2,5961,7108
IIT Kharagpur,EE,GEN,2,3067,4368
IIT Kharagpur,EE,GEN-EWS,2,3502,5310
IIT Kharagpur,EE,OBC-NCL,2,4266,5167
IIT Kharagpur,EE,SC,2,7559,9481
IIT Kharagpur,EE,ST,2,9044,9578
IIT Kharagpur,CE,GEN,2,5000,6015
IIT Kharagpur,CE,GEN-EWS,2,5979,7216
IIT Kharagpur,CE,OBC-NCL,2,6940,7880
IIT Kharagpur,CE,SC,2,12455,13970
IIT Kharagpur,CE,ST,2,15040,16546
IIT Kharagpur,ME,GEN,2,4048,5363
IIT Kharagpur,ME,GEN-EWS,2,4789,6176
IIT Kharagpur,ME,OBC-NCL,2,5578,6219
IIT Kharagpur,ME,SC,2,9903,10409
IIT Kharagpur,ME,ST,2,12073,13460
IIT Madras,CSE,GEN,2,481,1527
IIT Madras,CSE,GEN-EWS,2,599,1669
IIT Madras,CSE,OBC-NCL,2,716,1284
IIT Madras,CSE,SC,2,1292,3169
IIT Madras,CSE,ST,2,1545,2382
IIT Madras,ECE,GEN,2,2096,3850
IIT Madras,ECE,GEN-EWS,2,2388,3074
IIT Madras,ECE,OBC-NCL,2,2805,4480
IIT Madras,ECE,SC,2,4910,5636
IIT Madras,ECE,ST,2,5991,7609
IIT Madras,EE,GEN,2,2945,4039
IIT Madras,EE,GEN-EWS,2,3634,4241
IIT Madras,EE,OBC-NCL,2,4205,6155
IIT Madras,EE,SC,2,7452,8931
IIT Madras,EE,ST,2,9079,9671
IIT Madras,CE,GEN,2,4959,6873
IIT Madras,CE,GEN-EWS,2,6036,7278
IIT Madras,CE,OBC-NCL,2,6998,8361
IIT Madras,CE,SC,2,12521,13693
IIT Madras,CE,ST,2,14967,16713
IIT Madras,ME,GEN,2,3905,5819
IIT Madras,ME,GEN-EWS,2,4892,6670
IIT Madras,ME,OBC-NCL,2,5667,6633
IIT Madras,ME,SC,2,9949,11890
IIT Madras,ME,ST,2,12050,13020
IIT Mandi,CSE,GEN,2,589,2458
IIT Mandi,CSE,GEN-EWS,2,511,2095
IIT Mandi,CSE,OBC-NCL,2,753,2561
IIT Mandi,CSE,SC,2,1235,2531
IIT Mandi,CSE,ST,2,1497,3195
IIT Mandi,ECE,GEN,2,2069,3010
IIT Mandi,ECE,GEN-EWS,2,2315,3316
IIT Mandi,ECE,OBC-NCL,2,2898,3398
IIT Mandi,ECE,SC,2,4912,6089
IIT Mandi,ECE,ST,2,6073,7772
IIT Mandi,EE,GEN,2,2965,4894
IIT Mandi,EE,GEN-EWS,2,3631,4958
IIT Mandi,EE,OBC-NCL,2,4264,5020
IIT Mandi,EE,SC,2,7408,8918
IIT Mandi,EE,ST,2,8958,10551
IIT Mandi,CE,GEN,2,4994,6698
IIT Mandi,CE,GEN-EWS,2,5954,7835
IIT Mandi,CE,OBC-NCL,2,7064,8129
IIT Mandi,CE,SC,2,12526,13836
IIT Mandi,CE,ST,2,15004,16172
IIT Mandi,ME,GEN,2,4064,5247
IIT Mandi,ME,GEN-EWS,2,4816,5759
IIT Mandi,ME,OBC-NCL,2,5505,6265
IIT Mandi,ME,SC,2,10017,11309
IIT Mandi,ME,ST,2,11908,13288
IIT Nagpur,CSE,GEN,2,562,1686
IIT Nagpur,CSE,GEN-EWS,2,541,1763
IIT Nagpur,CSE,OBC-NCL,2,680,1519
IIT Nagpur,CSE,SC,2,1235,1965
IIT Nagpur,CSE,ST,2,1420,2185
IIT Nagpur,ECE,GEN,2,2052,2661
IIT Nagpur,ECE,GEN-EWS,2,2432,3586
IIT Nagpur,ECE,OBC-NCL,2,2861,4434
IIT Nagpur,ECE,SC,2,5034,7014
IIT Nagpur,ECE,ST,2,6008,7924
IIT Nagpur,EE,GEN,2,2988,3634
IIT Nagpur,EE,GEN-EWS,2,3680,5564
IIT Nagpur,EE,OBC-NCL,2,4284,5326
IIT Nagpur,EE,SC,2,7540,8061
IIT Nagpur,EE,ST,2,8901,9651
IIT Nagpur,CE,GEN,2,5095,6883
IIT Nagpur,CE,GEN-EWS,2,5993,7091
IIT Nagpur,CE,OBC-NCL,2,7069,7867
IIT Nagpur,CE,SC,2,12533,13157
IIT Nagpur,CE,ST,2,15076,17051
IIT Nagpur,ME,GEN,2,4001,5296
IIT Nagpur,ME,GEN-EWS,2,4889,6277
IIT Nagpur,ME,OBC-NCL,2,5562,7310
IIT Nagpur,ME,SC,2,9923,11214
IIT Nagpur,ME,ST,2,12092,13572
IIT Palakkad,CSE,GEN,2,573,1879
IIT Palakkad,CSE,GEN-EWS,2,506,2295
IIT Palakkad,CSE,OBC-NCL,2,799,2761
IIT Palakkad,CSE,SC,2,1300,2199
IIT Palakkad,CSE,ST,2,1478,2627
IIT Palakkad,ECE,GEN,2,1923,2578
IIT Palakkad,ECE,GEN-EWS,2,2391,3227
IIT Palakkad,ECE,OBC-NCL,2,2713,4643
IIT Palakkad,ECE,SC,2,4958,6369
IIT Palakkad,ECE,ST,2,6062,6771
IIT Palakkad,EE,GEN,2,3062,4907
IIT Palakkad,EE,GEN-EWS,2,3662,5360
IIT Palakkad,EE,OBC-NCL,2,4212,6158
IIT Palakkad,EE,SC,2,7579,9504
IIT Palakkad,EE,ST,2,8991,10878
IIT Palakkad,CE,GEN,2,5091,6900
IIT Palakkad,CE,GEN-EWS,2,5915,7403
IIT Palakkad,CE,OBC-NCL,2,7052,7552
IIT Palakkad,CE,SC,2,12481,14100
IIT Palakkad,CE,ST,2,15007,16993
IIT Palakkad,ME,GEN,2,3901,4842
IIT Palakkad,ME,GEN-EWS,2,4746,5273
IIT Palakkad,ME,OBC-NCL,2,5560,7496
IIT Palakkad,ME,SC,2,10049,11610
IIT Palakkad,ME,ST,2,11927,13235
IIT Patna,CSE,GEN,2,415,2283
IIT Patna,CSE,GEN-EWS,2,615,2602
IIT Patna,CSE,OBC-NCL,2,754,2655
IIT Patna,CSE,SC,2,1228,3174
IIT Patna,CSE,ST,2,1576,2626
IIT Patna,ECE,GEN,2,1962,2883
IIT Patna,ECE,GEN-EWS,2,2333,3337
IIT Patna,ECE,OBC-NCL,2,2774,4415
IIT Patna,ECE,SC,2,4951,5747
IIT Patna,ECE,ST,2,6094,7082
IIT Patna,EE,GEN,2,3005,3674
IIT Patna,EE,GEN-EWS,2,3509,5198
IIT Patna,EE,OBC-NCL,2,4240,5711
IIT Patna,EE,SC,2,7488,9481
IIT Patna,EE,ST,2,9009,10750
IIT Patna,CE,GEN,2,5059,6444
IIT Patna,CE,GEN-EWS,2,5908,6785
IIT Patna,CE,OBC-NCL,2,7063,8642
IIT Patna,CE,SC,2,12483,13550
IIT Patna,CE,ST,2,14987,16154
IIT Patna,ME,GEN,2,4003,4737
IIT Patna,ME,GEN-EWS,2,4770,5720
IIT Patna,ME,OBC-NCL,2,5540,6124
IIT Patna,ME,SC,2,10004,11737
IIT Patna,ME,ST,2,11921,13128
IIT Roorkee,CSE,GEN,2,458,2397
IIT Roorkee,CSE,GEN-EWS,2,571,1276
IIT Roorkee,CSE,OBC-NCL,2,633,2358
IIT Roorkee,CSE,SC,2,1213,1942
IIT Roorkee,CSE,ST,2,1445,3155
IIT Roorkee,ECE,GEN,2,1999,2859
IIT Roorkee,ECE,GEN-EWS,2,2349,3927
IIT Roorkee,ECE,OBC-NCL,2,2701,3768
IIT Roorkee,ECE,SC,2,5050,7024
IIT Roorkee,ECE,ST,2,6025,6589
IIT Roorkee,EE,GEN,2,2913,4534
IIT Roorkee,EE,GEN-EWS,2,3518,4663
IIT Roorkee,EE,OBC-NCL,2,4183,5005
IIT Roorkee,EE,SC,2,7447,8847
IIT Roorkee,EE,ST,2,8904,10159
IIT Roorkee,CE,GEN,2,5058,5758
IIT Roorkee,CE,GEN-EWS,2,5902,7562
IIT Roorkee,CE,OBC-NCL,2,6954,7747
IIT Roorkee,CE,SC,2,12463,13575
