Round,Institute,Department,Category,Opening Rank,Closing Rank
1,NIT Delhi,Electrical Engineering,SC,7614,10496
1,NIT Delhi,Electrical Engineering,ST,7057,7825
1,NIT Delhi,Electrical Engineering,GEN-EWS,4959,6081
2,NIT Delhi,Computer Science and Engineering,GEN,12553,13296
2,NIT Delhi,Computer Science and Engineering,OBC-NCL,7328,8724
2,NIT Delhi,Computer Science and Engineering,SC,9647,10915
2,NIT Delhi,Computer Science and Engineering,ST,12447,14306
2,NIT Delhi,Computer Science and Engineering,GEN-EWS,4409,7141
2,NIT Delhi,Electronics and Communication Engineering,GEN,4188,5103
2,NIT Delhi,Electronics and Communication Engineering,OBC-NCL,7498,8351
2,NIT Delhi,Electronics and Communication Engineering,SC,2858,5608
2,NIT Delhi,Electronics and Communication Engineering,ST,11230,13348
2,NIT Delhi,Electronics and Communication Engineering,GEN-EWS,3008,5166
2,NIT Delhi,Mechanical Engineering,GEN,4217,4347
2,NIT Delhi,Mechanical Engineering,OBC-NCL,319,1685
2,NIT Delhi,Mechanical Engineering,SC,6279,7379
2,NIT Delhi,Mechanical Engineering,ST,11073,11832
2,NIT Delhi,Mechanical Engineering,GEN-EWS,2453,5282
2,NIT Delhi,Civil Engineering,GEN,4915,5699
2,NIT Delhi,Civil Engineering,OBC-NCL,13394,13809
2,NIT Delhi,Civil Engineering,SC,1680,2594
2,NIT Delhi,Civil Engineering,ST,10439,10637
2,NIT Delhi,Civil Engineering,GEN-EWS,11247,13858
2,NIT Delhi,Electrical Engineering,GEN,3804,6787
2,NIT Delhi,Electrical Engineering,OBC-NCL,9538,9859
2,NIT Delhi,Electrical Engineering,SC,6853,9796
2,NIT Delhi,Electrical Engineering,ST,9238,9346
2,NIT Delhi,Electrical Engineering,GEN-EWS,8558,9013
3,NIT Delhi,Computer Science and Engineering,GEN,6195,6753
3,NIT Delhi,Computer Science and Engineering,OBC-NCL,9669,10794
3,NIT Delhi,Computer Science and Engineering,SC,297,607
3,NIT Delhi,Computer Science and Engineering,ST,1711,1848
3,NIT Delhi,Computer Science and Engineering,GEN-EWS,10117,12952
3,NIT Delhi,Electronics and Communication Engineering,GEN,3136,5479
3,NIT Delhi,Electronics and Communication Engineering,OBC-NCL,14796,15599
3,NIT Delhi,Electronics and Communication Engineering,SC,3352,5185
3,NIT Delhi,Electronics and Communication Engineering,ST,13568,13857
3,NIT Delhi,Electronics and Communication Engineering,GEN-EWS,4687,6113
3,NIT Delhi,Mechanical Engineering,GEN,14290,16781
3,NIT Delhi,Mechanical Engineering,OBC-NCL,2267,2547
3,NIT Delhi,Mechanical Engineering,SC,6756,8344
3,NIT Delhi,Mechanical Engineering,ST,7638,8306
3,NIT Delhi,Mechanical Engineering,GEN-EWS,6604,7504
3,NIT Delhi,Civil Engineering,GEN,4301,6424
3,NIT Delhi,Civil Engineering,OBC-NCL,14253,14635
3,NIT Delhi,Civil Engineering,SC,7154,9778
3,NIT Delhi,Civil Engineering,ST,7640,7923
3,NIT Delhi,Civil Engineering,GEN-EWS,9627,9853
3,NIT Delhi,Electrical Engineering,GEN,13084,15107
3,NIT Delhi,Electrical Engineering,OBC-NCL,6952,8958
3,NIT Delhi,Electrical Engineering,SC,14930,15143
3,NIT Delhi,Electrical Engineering,ST,4220,6444
3,NIT Delhi,Electrical Engineering,GEN-EWS,11007,11413
4,NIT Delhi,Computer Science and Engineering,GEN,4889,7051
4,NIT Delhi,Computer Science and Engineering,OBC-NCL,9893,12406
4,NIT Delhi,Computer Science and Engineering,SC,14500,16449
4,NIT Delhi,Computer Science and Engineering,ST,7070,7786
4,NIT Delhi,Computer Science and Engineering,GEN-EWS,2753,3020
4,NIT Delhi,Electronics and Communication Engineering,GEN,1270,4159
4,NIT Delhi,Electronics and Communication Engineering,OBC-NCL,11587,12466
4,NIT Delhi,Electronics and Communication Engineering,SC,9768,12672
4,NIT Delhi,Electronics and Communication Engineering,ST,7992,8611
4,NIT Delhi,Electronics and Communication Engineering,GEN-EWS,3976,4065
4,NIT Delhi,Mechanical Engineering,GEN,3839,5094
4,NIT Delhi,Mechanical Engineering,OBC-NCL,14349,16383
4,NIT Delhi,Mechanical Engineering,SC,4725,5414
4,NIT Delhi,Mechanical Engineering,ST,12675,14534
4,NIT Delhi,Mechanical Engineering,GEN-EWS,11258,14231
4,NIT Delhi,Civil Engineering,GEN,12721,13509
4,NIT Delhi,Civil Engineering,OBC-NCL,3814,4564
4,NIT Delhi,Civil Engineering,SC,14943,17010
4,NIT Delhi,Civil Engineering,ST,11722,14121
4,NIT Delhi,Civil Engineering,GEN-EWS,2233,4636
4,NIT Delhi,Electrical Engineering,GEN,10218,12420
4,NIT Delhi,Electrical Engineering,OBC-NCL,6485,9079
4,NIT Delhi,Electrical Engineering,SC,3992,6476
4,NIT Delhi,Electrical Engineering,ST,4569,6511
4,NIT Delhi,Electrical Engineering,GEN-EWS,9200,11925
5,NIT Delhi,Computer Science and Engineering,GEN,7274,8837
5,NIT Delhi,Computer Science and Engineering,OBC-NCL,6812,9089
5,NIT Delhi,Computer Science and Engineering,SC,3842,5686
5,NIT Delhi,Computer Science and Engineering,ST,2970,4391
5,NIT Delhi,Computer Science and Engineering,GEN-EWS,3236,5866
5,NIT Delhi,Electronics and Communication Engineering,GEN,3836,6244
5,NIT Delhi,Electronics and Communication Engineering,OBC-NCL,5761,7835
5,NIT Delhi,Electronics and Communication Engineering,SC,623,1703
5,NIT Delhi,Electronics and Communication Engineering,ST,9554,11553
5,NIT Delhi,Electronics and Communication Engineering,GEN-EWS,10379,12764
5,NIT Delhi,Mechanical Engineering,GEN,33,1225
5,NIT Delhi,Mechanical Engineering,OBC-NCL,4418,6023
5,NIT Delhi,Mechanical Engineering,SC,1715,3374
5,NIT Delhi,Mechanical Engineering,ST,1625,4264
5,NIT Delhi,Mechanical Engineering,GEN-EWS,547,850
5,NIT Delhi,Civil Engineering,GEN,3902,4762
5,NIT Delhi,Civil Engineering,OBC-NCL,12345,12843
5,NIT Delhi,Civil Engineering,SC,4480,6142
5,NIT Delhi,Civil Engineering,ST,8811,10683
5,NIT Delhi,Civil Engineering,GEN-EWS,5984,8210
5,NIT Delhi,Electrical Engineering,GEN,6901,9437
5,NIT Delhi,Electrical Engineering,OBC-NCL,876,2632
5,NIT Delhi,Electrical Engineering,SC,11859,11915
5,NIT Delhi,Electrical Engineering,ST,6178,8652
5,NIT Delhi,Electrical Engineering,GEN-EWS,14469,17469
6,NIT Delhi,Computer Science and Engineering,GEN,6647,7321
6,NIT Delhi,Computer Science and Engineering,OBC-NCL,3352,5400
6,NIT Delhi,Computer Science and Engineering,SC,12571,15145
6,NIT Delhi,Computer Science and Engineering,ST,11056,11587
6,NIT Delhi,Computer Science and Engineering,GEN-EWS,11671,13972
6,NIT Delhi,Electronics and Communication Engineering,GEN,10108,11802
6,NIT Delhi,Electronics and Communication Engineering,OBC-NCL,5434,6384
6,NIT Delhi,Electronics and Communication Engineering,SC,8890,10610
6,NIT Delhi,Electronics and Communication Engineering,ST,8669,10459
6,NIT Delhi,Electronics and Communication Engineering,GEN-EWS,4461,7382
6,NIT Delhi,Mechanical Engineering,GEN,11505,14123
6,NIT Delhi,Mechanical Engineering,OBC-NCL,883,2394
6,NIT Delhi,Mechanical Engineering,SC,7061,8018
6,NIT Delhi,Mechanical Engineering,ST,10981,12186
6,NIT Delhi,Mechanical Engineering,GEN-EWS,2241,4876
6,NIT Delhi,Civil Engineering,GEN,3985,5148
6,NIT Delhi,Civil Engineering,OBC-NCL,1873,2675
6,NIT Delhi,Civil Engineering,SC,14471,14521
6,NIT Delhi,Civil Engineering,ST,3329,4078
6,NIT Delhi,Civil Engineering,GEN-EWS,8569,9202
6,NIT Delhi,Electrical Engineering,GEN,3211,5093
6,NIT Delhi,Electrical Engineering,OBC-NCL,10028,12457
6,NIT Delhi,Electrical Engineering,SC,11986,12819
6,NIT Delhi,Electrical Engineering,ST,6275,8087
6,NIT Delhi,Electrical Engineering,GEN-EWS,12131,14586
1,NIT Durgapur,Computer Science and Engineering,GEN,9089,9399
1,NIT Durgapur,Computer Science and Engineering,OBC-NCL,1230,4045
1,NIT Durgapur,Computer Science and Engineering,SC,5924,8792
1,NIT Durgapur,Computer Science and Engineering,ST,8344,9655
1,NIT Durgapur,Computer Science and Engineering,GEN-EWS,2828,4600
1,NIT Durgapur,Electronics and Communication Engineering,GEN,9040,9544
1,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,14193,17184
1,NIT Durgapur,Electronics and Communication Engineering,SC,7150,9981
1,NIT Durgapur,Electronics and Communication Engineering,ST,13309,13985
1,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,10658,12456
1,NIT Durgapur,Mechanical Engineering,GEN,11405,13007
1,NIT Durgapur,Mechanical Engineering,OBC-NCL,7357,7886
1,NIT Durgapur,Mechanical Engineering,SC,3127,5326
1,NIT Durgapur,Mechanical Engineering,ST,5073,7382
1,NIT Durgapur,Mechanical Engineering,GEN-EWS,3299,5793
1,NIT Durgapur,Civil Engineering,GEN,1417,2325
1,NIT Durgapur,Civil Engineering,OBC-NCL,3400,5965
1,NIT Durgapur,Civil Engineering,SC,10512,11143
1,NIT Durgapur,Civil Engineering,ST,991,1775
1,NIT Durgapur,Civil Engineering,GEN-EWS,14144,15739
1,NIT Durgapur,Electrical Engineering,GEN,1310,3924
1,NIT Durgapur,Electrical Engineering,OBC-NCL,3821,4472
1,NIT Durgapur,Electrical Engineering,SC,3212,3359
1,NIT Durgapur,Electrical Engineering,ST,14943,16189
1,NIT Durgapur,Electrical Engineering,GEN-EWS,6760,8392
2,NIT Durgapur,Computer Science and Engineering,GEN,6968,8654
2,NIT Durgapur,Computer Science and Engineering,OBC-NCL,11519,13378
2,NIT Durgapur,Computer Science and Engineering,SC,13305,15260
2,NIT Durgapur,Computer Science and Engineering,ST,14195,15943
2,NIT Durgapur,Computer Science and Engineering,GEN-EWS,2140,4564
2,NIT Durgapur,Electronics and Communication Engineering,GEN,1165,3507
2,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,6117,7030
2,NIT Durgapur,Electronics and Communication Engineering,SC,1080,2747
2,NIT Durgapur,Electronics and Communication Engineering,ST,8411,9833
2,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,3976,4417
2,NIT Durgapur,Mechanical Engineering,GEN,11863,14605
2,NIT Durgapur,Mechanical Engineering,OBC-NCL,6081,8719
2,NIT Durgapur,Mechanical Engineering,SC,80,948
2,NIT Durgapur,Mechanical Engineering,ST,5493,7388
2,NIT Durgapur,Mechanical Engineering,GEN-EWS,7714,9207
2,NIT Durgapur,Civil Engineering,GEN,10943,11132
2,NIT Durgapur,Civil Engineering,OBC-NCL,5020,6261
2,NIT Durgapur,Civil Engineering,SC,6883,8976
2,NIT Durgapur,Civil Engineering,ST,81,2423
2,NIT Durgapur,Civil Engineering,GEN-EWS,5778,6193
2,NIT Durgapur,Electrical Engineering,GEN,9033,9829
2,NIT Durgapur,Electrical Engineering,OBC-NCL,13414,14484
2,NIT Durgapur,Electrical Engineering,SC,13612,15467
2,NIT Durgapur,Electrical Engineering,ST,2084,2592
2,NIT Durgapur,Electrical Engineering,GEN-EWS,14169,16718
3,NIT Durgapur,Computer Science and Engineering,GEN,6081,6189
3,NIT Durgapur,Computer Science and Engineering,OBC-NCL,1481,4212
3,NIT Durgapur,Computer Science and Engineering,SC,11977,13913
3,NIT Durgapur,Computer Science and Engineering,ST,2831,4361
3,NIT Durgapur,Computer Science and Engineering,GEN-EWS,10148,11297
3,NIT Durgapur,Electronics and Communication Engineering,GEN,9078,9238
3,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,14083,15351
3,NIT Durgapur,Electronics and Communication Engineering,SC,4786,5468
3,NIT Durgapur,Electronics and Communication Engineering,ST,9972,12483
3,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,1897,4414
3,NIT Durgapur,Mechanical Engineering,GEN,1455,3759
3,NIT Durgapur,Mechanical Engineering,OBC-NCL,6772,7142
3,NIT Durgapur,Mechanical Engineering,SC,13369,15750
3,NIT Durgapur,Mechanical Engineering,ST,10224,11617
3,NIT Durgapur,Mechanical Engineering,GEN-EWS,732,2830
3,NIT Durgapur,Civil Engineering,GEN,3174,3277
3,NIT Durgapur,Civil Engineering,OBC-NCL,4137,5543
3,NIT Durgapur,Civil Engineering,SC,2781,5699
3,NIT Durgapur,Civil Engineering,ST,14870,16600
3,NIT Durgapur,Civil Engineering,GEN-EWS,685,2738
3,NIT Durgapur,Electrical Engineering,GEN,12582,14764
3,NIT Durgapur,Electrical Engineering,OBC-NCL,13663,15123
3,NIT Durgapur,Electrical Engineering,SC,10936,12483
3,NIT Durgapur,Electrical Engineering,ST,1294,2017
3,NIT Durgapur,Electrical Engineering,GEN-EWS,1820,1932
4,NIT Durgapur,Computer Science and Engineering,GEN,838,919
4,NIT Durgapur,Computer Science and Engineering,OBC-NCL,3247,5219
4,NIT Durgapur,Computer Science and Engineering,SC,12853,15392
4,NIT Durgapur,Computer Science and Engineering,ST,14542,17466
4,NIT Durgapur,Computer Science and Engineering,GEN-EWS,3213,4918
4,NIT Durgapur,Electronics and Communication Engineering,GEN,7432,9636
4,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,10405,10862
4,NIT Durgapur,Electronics and Communication Engineering,SC,10939,11008
4,NIT Durgapur,Electronics and Communication Engineering,ST,6203,8900
4,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,7891,8458
4,NIT Durgapur,Mechanical Engineering,GEN,11412,13936
4,NIT Durgapur,Mechanical Engineering,OBC-NCL,6930,7552
4,NIT Durgapur,Mechanical Engineering,SC,13247,15371
4,NIT Durgapur,Mechanical Engineering,ST,6496,6546
4,NIT Durgapur,Mechanical Engineering,GEN-EWS,4244,4611
4,NIT Durgapur,Civil Engineering,GEN,5598,8397
4,NIT Durgapur,Civil Engineering,OBC-NCL,2269,2969
4,NIT Durgapur,Civil Engineering,SC,14793,16649
4,NIT Durgapur,Civil Engineering,ST,12855,14775
4,NIT Durgapur,Civil Engineering,GEN-EWS,2951,3999
4,NIT Durgapur,Electrical Engineering,GEN,13441,15059
4,NIT Durgapur,Electrical Engineering,OBC-NCL,7682,8768
4,NIT Durgapur,Electrical Engineering,SC,2848,4789
4,NIT Durgapur,Electrical Engineering,ST,8913,11026
4,NIT Durgapur,Electrical Engineering,GEN-EWS,9401,10549
5,NIT Durgapur,Computer Science and Engineering,GEN,10303,12344
5,NIT Durgapur,Computer Science and Engineering,OBC-NCL,4664,5158
5,NIT Durgapur,Computer Science and Engineering,SC,9386,11010
5,NIT Durgapur,Computer Science and Engineering,ST,567,2464
5,NIT Durgapur,Computer Science and Engineering,GEN-EWS,8643,9944
5,NIT Durgapur,Electronics and Communication Engineering,GEN,14914,17760
5,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,12287,14132
5,NIT Durgapur,Electronics and Communication Engineering,SC,1861,4300
5,NIT Durgapur,Electronics and Communication Engineering,ST,1303,1567
5,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,2538,3000
5,NIT Durgapur,Mechanical Engineering,GEN,5318,7811
5,NIT Durgapur,Mechanical Engineering,OBC-NCL,13801,15855
5,NIT Durgapur,Mechanical Engineering,SC,12846,13510
5,NIT Durgapur,Mechanical Engineering,ST,14340,14826
5,NIT Durgapur,Mechanical Engineering,GEN-EWS,1363,1677
5,NIT Durgapur,Civil Engineering,GEN,14962,15747
5,NIT Durgapur,Civil Engineering,OBC-NCL,7513,10460
5,NIT Durgapur,Civil Engineering,SC,10555,11959
5,NIT Durgapur,Civil Engineering,ST,9848,11925
5,NIT Durgapur,Civil Engineering,GEN-EWS,5879,8734
5,NIT Durgapur,Electrical Engineering,GEN,11577,13421
5,NIT Durgapur,Electrical Engineering,OBC-NCL,2807,4933
5,NIT Durgapur,Electrical Engineering,SC,1082,2007
5,NIT Durgapur,Electrical Engineering,ST,1123,2589
5,NIT Durgapur,Electrical Engineering,GEN-EWS,13859,13937
6,NIT Durgapur,Computer Science and Engineering,GEN,6651,7924
6,NIT Durgapur,Computer Science and Engineering,OBC-NCL,3184,4232
6,NIT Durgapur,Computer Science and Engineering,SC,10492,13491
6,NIT Durgapur,Computer Science and Engineering,ST,14663,16294
6,NIT Durgapur,Computer Science and Engineering,GEN-EWS,8700,10657
6,NIT Durgapur,Electronics and Communication Engineering,GEN,7339,9336
6,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,4731,5294
6,NIT Durgapur,Electronics and Communication Engineering,SC,280,1335
6,NIT Durgapur,Electronics and Communication Engineering,ST,6467,8899
6,NIT Durgapur,Electronics and Communication Engineering,GEN-EWS,8839,9606
6,NIT Durgapur,Mechanical Engineering,GEN,9507,12461
6,NIT Durgapur,Mechanical Engineering,OBC-NCL,14566,16275
6,NIT Durgapur,Mechanical Engineering,SC,5738,6717
6,NIT Durgapur,Mechanical Engineering,ST,1495,3422
6,NIT Durgapur,Mechanical Engineering,GEN-EWS,273,3197
6,NIT Durgapur,Civil Engineering,GEN,10344,12405
6,NIT Durgapur,Civil Engineering,OBC-NCL,3994,5883
6,NIT Durgapur,Civil Engineering,SC,10420,10759
6,NIT Durgapur,Civil Engineering,ST,6818,8536
6,NIT Durgapur,Civil Engineering,GEN-EWS,14409,15747
6,NIT Durgapur,Electrical Engineering,GEN,3195,3526
6,NIT Durgapur,Electrical Engineering,OBC-NCL,11109,12194
6,NIT Durgapur,Electrical Engineering,SC,7861,8067
6,NIT Durgapur,Electrical Engineering,ST,7741,10468
6,NIT Durgapur,Electrical Engineering,GEN-EWS,8104,9782
1,NIT Goa,Computer Science and Engineering,GEN,6334,7568
1,NIT Goa,Computer Science and Engineering,OBC-NCL,11495,12407
1,NIT Goa,Computer Science and Engineering,SC,2888,4077
1,NIT Goa,Computer Science and Engineering,ST,978,1762
1,NIT Goa,Computer Science and Engineering,GEN-EWS,3517,6002
1,NIT Goa,Electronics and Communication Engineering,GEN,13468,15679
1,NIT Goa,Electronics and Communication Engineering,OBC-NCL,1428,3128
1,NIT Goa,Electronics and Communication Engineering,SC,10744,13622
1,NIT Goa,Electronics and Communication Engineering,ST,11481,13846
1,NIT Goa,Electronics and Communication Engineering,GEN-EWS,10978,12145
1,NIT Goa,Mechanical Engineering,GEN,2788,4337
1,NIT Goa,Mechanical Engineering,OBC-NCL,6763,9415
1,NIT Goa,Mechanical Engineering,SC,10347,11524
1,NIT Goa,Mechanical Engineering,ST,7682,10321
1,NIT Goa,Mechanical Engineering,GEN-EWS,9871,12079
1,NIT Goa,Civil Engineering,GEN,8674,9201
1,NIT Goa,Civil Engineering,OBC-NCL,12623,14238
1,NIT Goa,Civil Engineering,SC,6471,6691
1,NIT Goa,Civil Engineering,ST,14576,17297
1,NIT Goa,Civil Engineering,GEN-EWS,8548,9041
1,NIT Goa,Electrical Engineering,GEN,2367,3777
1,NIT Goa,Electrical Engineering,OBC-NCL,13078,14889
1,NIT Goa,Electrical Engineering,SC,11723,13577
1,NIT Goa,Electrical Engineering,ST,13087,14244
1,NIT Goa,Electrical Engineering,GEN-EWS,3771,5410
2,NIT Goa,Computer Science and Engineering,GEN,4834,4907
2,NIT Goa,Computer Science and Engineering,OBC-NCL,13149,14689
2,NIT Goa,Computer Science and Engineering,SC,6356,8661
2,NIT Goa,Computer Science and Engineering,ST,9167,11424
2,NIT Goa,Computer Science and Engineering,GEN-EWS,13680,15234
2,NIT Goa,Electronics and Communication Engineering,GEN,7664,9770
2,NIT Goa,Electronics and Communication Engineering,OBC-NCL,5194,8085
2,NIT Goa,Electronics and Communication Engineering,SC,3196,4381
2,NIT Goa,Electronics and Communication Engineering,ST,9936,12475
2,NIT Goa,Electronics and Communication Engineering,GEN-EWS,7175,8543
2,NIT Goa,Mechanical Engineering,GEN,1255,1353
2,NIT Goa,Mechanical Engineering,OBC-NCL,10500,13257
2,NIT Goa,Mechanical Engineering,SC,2110,3708
2,NIT Goa,Mechanical Engineering,ST,9339,11464
2,NIT Goa,Mechanical Engineering,GEN-EWS,3321,5083
2,NIT Goa,Civil Engineering,GEN,4756,4842
2,NIT Goa,Civil Engineering,OBC-NCL,3815,6472
2,NIT Goa,Civil Engineering,SC,299,2416
2,NIT Goa,Civil Engineering,ST,7520,8928
2,NIT Goa,Civil Engineering,GEN-EWS,14894,15036
2,NIT Goa,Electrical Engineering,GEN,4113,5033
2,NIT Goa,Electrical Engineering,OBC-NCL,9959,11237
2,NIT Goa,Electrical Engineering,SC,11878,13485
2,NIT Goa,Electrical Engineering,ST,3192,3323
2,NIT Goa,Electrical Engineering,GEN-EWS,832,3079
3,NIT Goa,Computer Science and Engineering,GEN,7809,8204
3,NIT Goa,Computer Science and Engineering,OBC-NCL,2008,3146
3,NIT Goa,Computer Science and Engineering,SC,5604,7943
3,NIT Goa,Computer Science and Engineering,ST,8351,8951
3,NIT Goa,Computer Science and Engineering,GEN-EWS,3901,6629
3,NIT Goa,Electronics and Communication Engineering,GEN,11147,12697
3,NIT Goa,Electronics and Communication Engineering,OBC-NCL,8086,8246
3,NIT Goa,Electronics and Communication Engineering,SC,7537,8398
3,NIT Goa,Electronics and Communication Engineering,ST,7867,10078
3,NIT Goa,Electronics and Communication Engineering,GEN-EWS,3825,4520
3,NIT Goa,Mechanical Engineering,GEN,6400,7526
3,NIT Goa,Mechanical Engineering,OBC-NCL,3040,3482
3,NIT Goa,Mechanical Engineering,SC,6275,7117
3,NIT Goa,Mechanical Engineering,ST,8602,10208
3,NIT Goa,Mechanical Engineering,GEN-EWS,9821,9976
3,NIT Goa,Civil Engineering,GEN,2936,3809
3,NIT Goa,Civil Engineering,OBC-NCL,8628,9412
3,NIT Goa,Civil Engineering,SC,3189,5762
3,NIT Goa,Civil Engineering,ST,1550,3935
3,NIT Goa,Civil Engineering,GEN-EWS,7917,10510
3,NIT Goa,Electrical Engineering,GEN,1213,3480
3,NIT Goa,Electrical Engineering,OBC-NCL,12083,13282
3,NIT Goa,Electrical Engineering,SC,5505,7858
3,NIT Goa,Electrical Engineering,ST,10696,11668
3,NIT Goa,Electrical Engineering,GEN-EWS,12846,14044
4,NIT Goa,Computer Science and Engineering,GEN,8702,9947
4,NIT Goa,Computer Science and Engineering,OBC-NCL,12734,14576
4,NIT Goa,Computer Science and Engineering,SC,5394,5608
4,NIT Goa,Computer Science and Engineering,ST,862,1997
4,NIT Goa,Computer Science and Engineering,GEN-EWS,3607,6188
4,NIT Goa,Electronics and Communication Engineering,GEN,14562,16809
4,NIT Goa,Electronics and Communication Engineering,OBC-NCL,3943,5513
4,NIT Goa,Electronics and Communication Engineering,SC,6398,6658
4,NIT Goa,Electronics and Communication Engineering,ST,13759,14482
4,NIT Goa,Electronics and Communication Engineering,GEN-EWS,6170,6228
4,NIT Goa,Mechanical Engineering,GEN,14885,16313
4,NIT Goa,Mechanical Engineering,OBC-NCL,8248,10456
4,NIT Goa,Mechanical Engineering,SC,3912,4161
4,NIT Goa,Mechanical Engineering,ST,695,3400
4,NIT Goa,Mechanical Engineering,GEN-EWS,5958,7309
4,NIT Goa,Civil Engineering,GEN,6777,8982
4,NIT Goa,Civil Engineering,OBC-NCL,12561,12903
4,NIT Goa,Civil Engineering,SC,10851,12417
4,NIT Goa,Civil Engineering,ST,12703,13518
4,NIT Goa,Civil Engineering,GEN-EWS,1741,4193
4,NIT Goa,Electrical Engineering,GEN,12534,13959
4,NIT Goa,Electrical Engineering,OBC-NCL,1339,2658
4,NIT Goa,Electrical Engineering,SC,14215,14625
4,NIT Goa,Electrical Engineering,ST,7399,7779
4,NIT Goa,Electrical Engineering,GEN-EWS,12914,14454
5,NIT Goa,Computer Science and Engineering,GEN,11272,11986
5,NIT Goa,Computer Science and Engineering,OBC-NCL,2408,5109
5,NIT Goa,Computer Science and Engineering,SC,9932,11100
5,NIT Goa,Computer Science and Engineering,ST,3132,5631
5,NIT Goa,Computer Science and Engineering,GEN-EWS,5012,7814
5,NIT Goa,Electronics and Communication Engineering,GEN,11441,12442
5,NIT Goa,Electronics and Communication Engineering,OBC-NCL,1404,2563
5,NIT Goa,Electronics and Communication Engineering,SC,13275,15542
5,NIT Goa,Electronics and Communication Engineering,ST,7876,9615
5,NIT Goa,Electronics and Communication Engineering,GEN-EWS,13071,15785
5,NIT Goa,Mechanical Engineering,GEN,512,587
5,NIT Goa,Mechanical Engineering,OBC-NCL,13746,16628
5,NIT Goa,Mechanical Engineering,SC,10730,12168
5,NIT Goa,Mechanical Engineering,ST,8105,10430
5,NIT Goa,Mechanical Engineering,GEN-EWS,9749,11858
5,NIT Goa,Civil Engineering,GEN,9498,11190
5,NIT Goa,Civil Engineering,OBC-NCL,12400,13125
5,NIT Goa,Civil Engineering,SC,7734,9984
5,NIT Goa,Civil Engineering,ST,11972,12731
5,NIT Goa,Civil Engineering,GEN-EWS,6402,7866
5,NIT Goa,Electrical Engineering,GEN,11668,13433
5,NIT Goa,Electrical Engineering,OBC-NCL,615,2042
5,NIT Goa,Electrical Engineering,SC,8494,10881
5,NIT Goa,Electrical Engineering,ST,13973,15845
5,NIT Goa,Electrical Engineering,GEN-EWS,4300,6707
6,NIT Goa,Computer Science and Engineering,GEN,12361,12679
6,NIT Goa,Computer Science and Engineering,OBC-NCL,13233,14533
6,NIT Goa,Computer Science and Engineering,SC,7082,9697
6,NIT Goa,Computer Science and Engineering,ST,10614,11318
6,NIT Goa,Computer Science and Engineering,GEN-EWS,8606,11041
6,NIT Goa,Electronics and Communication Engineering,GEN,4853,6653
6,NIT Goa,Electronics and Communication Engineering,OBC-NCL,11823,12523
6,NIT Goa,Electronics and Communication Engineering,SC,5882,8240
6,NIT Goa,Electronics and Communication Engineering,ST,7188,7692
6,NIT Goa,Electronics and Communication Engineering,GEN-EWS,1387,1785
6,NIT Goa,Mechanical Engineering,GEN,14885,16503
6,NIT Goa,Mechanical Engineering,OBC-NCL,9520,10432
6,NIT Goa,Mechanical Engineering,SC,3179,3965
6,NIT Goa,Mechanical Engineering,ST,11713,11834
6,NIT Goa,Mechanical Engineering,GEN-EWS,9428,10574
6,NIT Goa,Civil Engineering,GEN,7869,8998
6,NIT Goa,Civil Engineering,OBC-NCL,6459,6580
6,NIT Goa,Civil Engineering,SC,2839,5081
6,NIT Goa,Civil Engineering,ST,13309,14737
6,NIT Goa,Civil Engineering,GEN-EWS,1535,3436
6,NIT Goa,Electrical Engineering,GEN,1781,3209
6,NIT Goa,Electrical Engineering,OBC-NCL,7136,10001
6,NIT Goa,Electrical Engineering,SC,2152,4330
6,NIT Goa,Electrical Engineering,ST,6775,7908
6,NIT Goa,Electrical Engineering,GEN-EWS,2159,2822
1,NIT Hamirpur,Computer Science and Engineering,GEN,12248,13497
1,NIT Hamirpur,Computer Science and Engineering,OBC-NCL,4167,6974
1,NIT Hamirpur,Computer Science and Engineering,SC,10424,10872
1,NIT Hamirpur,Computer Science and Engineering,ST,2733,5104
1,NIT Hamirpur,Computer Science and Engineering,GEN-EWS,8784,9325
1,NIT Hamirpur,Electronics and Communication Engineering,GEN,9105,11318
1,NIT Hamirpur,Electronics and Communication Engineering,OBC-NCL,6113,6749
1,NIT Hamirpur,Electronics and Communication Engineering,SC,8002,9109
1,NIT Hamirpur,Electronics and Communication Engineering,ST,5290,5731
1,NIT Hamirpur,Electronics and Communication Engineering,GEN-EWS,14243,16322
1,NIT Hamirpur,Mechanical Engineering,GEN,2965,5753
1,NIT Hamirpur,Mechanical Engineering,OBC-NCL,4113,5513
1,NIT Hamirpur,Mechanical Engineering,SC,6312,7082
1,NIT Hamirpur,Mechanical Engineering,ST,7158,9544
1,NIT Hamirpur,Mechanical Engineering,GEN-EWS,4693,7227
1,NIT Hamirpur,Civil Engineering,GEN,6970,7587
